"Bluestock Fintech — Nifty 100  |  Cash Flow  |  1,187 records",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow
37,TCS,2013,11615,-6038,-5729,-152
38,TCS,2014,14751,-9452,-5673,-374
39,TCS,2015,19369,-1807,-17168,394
40,TCS,2016,19109,-5010,-9666,4433
41,TCS,2017,25223,-16895,-11026,-2698
42,TCS,2018,25067,3104,-26885,1286
43,TCS,2019,28593,1645,-27897,2341
44,TCS,2020,32369,8968,-39915,1422
45,TCS,2021,38802,-7956,-32634,-1788
46,TCS,2022,39949,-738,-33581,5630
47,TCS,2023,41965,548,-47878,-5365
48,TCS,2024,44338,6091,-48536,1893
61,ABB,2012,101,-59,-42,1
62,ABB,2014,155,-144,-42,-31
63,ABB,2015,215,-187,-58,-30
64,ABB,2016,249,-77,-80,91
65,ABB,2017,307,-155,-90,62
66,ABB,2018,153,-215,-102,-165
67,ABB,2019,499,-257,-143,99
68,ABB,2020,626,-401,-217,8
69,ABB,2021,727,-72,-582,73
70,ABB,2022,948,-396,-637,-86
71,ABB,2023,893,-148,-639,107
72,ABB,2024,1213,-416,-745,52
73,ABB,2014,0,0,0,0
74,ABB,2015,-35,-1864,1902,3
75,ABB,2016,1544,-816,-722,6
76,ABB,2017,2189,-1730,-455,4
77,ABB,2018,2198,-3192,1589,596
78,ABB,2019,2591,-3050,38,-421
79,ABB,2020,5437,-5643,1250,1045
80,ABB,2021,3784,-4009,-745,-969
81,ABB,2022,4097,-3936,-235,-75
82,ABB,2023,3777,-4699,923,2
83,ABB,2024,6038,-4943,-543,551
84,ADANIENSOL,2014,0,0,0,0
85,ADANIENSOL,2015,-35,-1864,1902,3
86,ADANIENSOL,2016,1544,-816,-722,6
87,ADANIENSOL,2017,2189,-1730,-455,4
88,ADANIENSOL,2018,2198,-3192,1589,596
89,ADANIENSOL,2019,2591,-3050,38,-421
90,ADANIENSOL,2020,5437,-5643,1250,1045
91,ADANIENSOL,2021,3784,-4009,-745,-969
92,ADANIENSOL,2022,4097,-3936,-235,-75
93,ADANIENSOL,2023,3777,-4699,923,2
94,ADANIENSOL,2024,6038,-4943,-543,551
95,ADANIENT,2013,7666,-14790,7199,75
96,ADANIENT,2014,8228,-8007,-1109,-888
97,ADANIENT,2015,8532,-11465,3445,512
98,ADANIENT,2016,5112,-1825,-3448,-161
99,ADANIENT,2017,774,-1460,716,30
100,ADANIENT,2018,2942,-7649,5120,413
101,ADANIENT,2019,3236,2487,-6158,-436
102,ADANIENT,2020,2454,-1082,-221,1151
103,ADANIENT,2021,4043,-8611,3109,-1459
104,ADANIENT,2022,1385,-17041,15901,246
105,ADANIENT,2023,17626,-15459,-1198,970
106,ADANIENT,2024,10312,-18767,8879,424
107,ADANIGREEN,2017,28,-1511,1559,76
108,ADANIGREEN,2018,649,-4428,3942,162
109,ADANIGREEN,2019,1625,-2666,1045,3
110,ADANIGREEN,2020,1965,-3743,2161,383
111,ADANIGREEN,2021,1601,-9137,7083,-453
112,ADANIGREEN,2022,3127,-18730,15986,383
113,ADANIGREEN,2023,7265,-3857,-2973,435
114,ADANIGREEN,2024,7713,-21060,13953,606
115,ADANIPORTS,2013,1379,-5136,4138,381
116,ADANIPORTS,2014,1132,-2510,772,-606
117,ADANIPORTS,2015,3057,-2485,-237,335
118,ADANIPORTS,2016,2381,-4153,2170,398
119,ADANIPORTS,2017,4063,-2629,-1325,109
120,ADANIPORTS,2018,5608,-3846,-1889,-127
121,ADANIPORTS,2019,6029,-4368,2313,3975
122,ADANIPORTS,2020,7402,-749,-4256,2397
123,ADANIPORTS,2021,7556,-14064,3514,-2994
124,ADANIPORTS,2022,10420,-5493,-586,4341
125,ADANIPORTS,2023,11900,-16716,-2734,-7550
126,ADANIPORTS,2024,15018,-6768,-7800,450
127,ADANIPOWER,2013,3001,-4064,861,-203
128,ADANIPOWER,2014,3238,-4700,1631,169
129,ADANIPOWER,2015,5824,-4737,-1144,-58
130,ADANIPOWER,2016,5257,-2692,-2713,-148
131,ADANIPOWER,2017,4725,-1212,-3539,-26
132,ADANIPOWER,2018,5101,-520,-4600,-19
133,ADANIPOWER,2019,5610,-984,-4663,-37
134,ADANIPOWER,2020,5598,-2304,-2377,917
135,ADANIPOWER,2021,7014,-2188,-5655,-828
136,ADANIPOWER,2022,10233,774,-10338,669
