Company ID,Company Name,Metric Type,Original Text,Failure Reason
SBILIFE,SBI Life Insurance Company Ltd,compounded_sales_growth,TTM:            43%,TTM format not supported by year pattern
SBILIFE,SBI Life Insurance Company Ltd,compounded_profit_growth,TTM:                 18%,TTM format not supported by year pattern
SBILIFE,SBI Life Insurance Company Ltd,stock_price_cagr,1 Year:         -2%,Negative percentage value not matched by regex pattern
SBILIFE,SBI Life Insurance Company Ltd,roe,Last Year:      12%,Last Year format not supported by year pattern
TCS,Tata Consultancy Services Ltd,compounded_sales_growth,TTM:            5%,TTM format not supported by year pattern
TCS,Tata Consultancy Services Ltd,compounded_profit_growth,TTM:                 8%,TTM format not supported by year pattern
TCS,Tata Consultancy Services Ltd,roe,Last Year:       52%,Last Year format not supported by year pattern
WIPRO,WIPRO,stock_price_cagr,3 Years:      -1%,Negative percentage value not matched by regex pattern
WIPRO,WIPRO,compounded_sales_growth,TTM:           -3%,TTM format not supported by year pattern
WIPRO,WIPRO,compounded_profit_growth,TTM:                 1%,TTM format not supported by year pattern
WIPRO,WIPRO,roe,Last Year:       14%,Last Year format not supported by year pattern
HDFCBANK,HDFC Bank Ltd,compounded_sales_growth,TTM:            47%,TTM format not supported by year pattern
HDFCBANK,HDFC Bank Ltd,compounded_profit_growth,TTM:                27%,TTM format not supported by year pattern
HDFCBANK,HDFC Bank Ltd,roe,Last Year:    17%,Last Year format not supported by year pattern
INFY,Infosys Ltd,compounded_sales_growth,TTM:            3%,TTM format not supported by year pattern
INFY,Infosys Ltd,compounded_profit_growth,TTM:                 8%,TTM format not supported by year pattern
INFY,Infosys Ltd,roe,Last Year:     32%,Last Year format not supported by year pattern
