Company ID,Company Name,Previous Year,Previous Pattern,Current Year,Current Pattern,Change Description
ABB,Abbott India Ltd,2016,Reinvestor,2017,Shareholder Returns,Reinvestor → Shareholder Returns
ABB,Abbott India Ltd,2017,Shareholder Returns,2018,Reinvestor,Shareholder Returns → Reinvestor
ABB,Abbott India Ltd,2018,Reinvestor,2019,Shareholder Returns,Reinvestor → Shareholder Returns
ABB,Abbott India Ltd,2022,Shareholder Returns,2023,Reinvestor,Shareholder Returns → Reinvestor
ABB,Abbott India Ltd,2023,Reinvestor,2024,Shareholder Returns,Reinvestor → Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2014,Cash Accumulator,2015,Growth Funded by Debt,Cash Accumulator → Growth Funded by Debt
ADANIENSOL,Adani Energy Solutions Ltd,2015,Growth Funded by Debt,2016,Shareholder Returns,Growth Funded by Debt → Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2017,Shareholder Returns,2018,Mixed,Shareholder Returns → Mixed
ADANIENSOL,Adani Energy Solutions Ltd,2020,Mixed,2021,Shareholder Returns,Mixed → Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,2022,Shareholder Returns,2023,Mixed,Shareholder Returns → Mixed
ADANIENSOL,Adani Energy Solutions Ltd,2023,Mixed,2024,Shareholder Returns,Mixed → Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2013,Mixed,2014,Shareholder Returns,Mixed → Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2014,Shareholder Returns,2015,Mixed,Shareholder Returns → Mixed
ADANIENT,Adani Enterprises Ltd,2015,Mixed,2016,Shareholder Returns,Mixed → Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2016,Shareholder Returns,2017,Mixed,Shareholder Returns → Mixed
ADANIENT,Adani Enterprises Ltd,2018,Mixed,2019,Liquidating Assets,Mixed → Liquidating Assets
ADANIENT,Adani Enterprises Ltd,2019,Liquidating Assets,2020,Shareholder Returns,Liquidating Assets → Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2020,Shareholder Returns,2021,Mixed,Shareholder Returns → Mixed
ADANIENT,Adani Enterprises Ltd,2022,Mixed,2023,Shareholder Returns,Mixed → Shareholder Returns
ADANIENT,Adani Enterprises Ltd,2023,Shareholder Returns,2024,Mixed,Shareholder Returns → Mixed
ADANIGREEN,Adani Green Energy Ltd,2022,Mixed,2023,Shareholder Returns,Mixed → Shareholder Returns
ADANIGREEN,Adani Green Energy Ltd,2023,Shareholder Returns,2024,Mixed,Shareholder Returns → Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2014,Mixed,2015,Shareholder Returns,Mixed → Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2015,Shareholder Returns,2016,Mixed,Shareholder Returns → Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2016,Mixed,2017,Shareholder Returns,Mixed → Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2018,Shareholder Returns,2019,Mixed,Shareholder Returns → Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2019,Mixed,2020,Shareholder Returns,Mixed → Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2020,Shareholder Returns,2021,Mixed,Shareholder Returns → Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,2021,Mixed,2022,Shareholder Returns,Mixed → Shareholder Returns
ADANIPOWER,Adani Power Ltd,2014,Mixed,2015,Reinvestor,Mixed → Reinvestor
ADANIPOWER,Adani Power Ltd,2015,Reinvestor,2016,Shareholder Returns,Reinvestor → Shareholder Returns
ADANIPOWER,Adani Power Ltd,2016,Shareholder Returns,2017,Reinvestor,Shareholder Returns → Reinvestor
ADANIPOWER,Adani Power Ltd,2020,Reinvestor,2021,Shareholder Returns,Reinvestor → Shareholder Returns
ADANIPOWER,Adani Power Ltd,2021,Shareholder Returns,2022,Liquidating Assets,Shareholder Returns → Liquidating Assets
AMBUJACEM,Ambuja Cements Ltd,2012,Shareholder Returns,2013,Reinvestor,Shareholder Returns → Reinvestor
AMBUJACEM,Ambuja Cements Ltd,2013,Reinvestor,2014,Shareholder Returns,Reinvestor → Shareholder Returns
AMBUJACEM,Ambuja Cements Ltd,2017,Shareholder Returns,2018,Reinvestor,Shareholder Returns → Reinvestor
AMBUJACEM,Ambuja Cements Ltd,2018,Reinvestor,2019,Shareholder Returns,Reinvestor → Shareholder Returns
AMBUJACEM,Ambuja Cements Ltd,2021,Shareholder Returns,2023,Mixed,Shareholder Returns → Mixed
APOLLOHOSP,Apollo Hospitals,2013,Mixed,2014,Shareholder Returns,Mixed → Shareholder Returns
APOLLOHOSP,Apollo Hospitals,2014,Shareholder Returns,2015,Mixed,Shareholder Returns → Mixed
APOLLOHOSP,Apollo Hospitals,2017,Mixed,2018,Shareholder Returns,Mixed → Shareholder Returns
ASIANPAINT,Asian Paints,2014,Shareholder Returns,2015,Reinvestor,Shareholder Returns → Reinvestor
ASIANPAINT,Asian Paints,2015,Reinvestor,2016,Shareholder Returns,Reinvestor → Shareholder Returns
ASIANPAINT,Asian Paints,2016,Shareholder Returns,2017,Reinvestor,Shareholder Returns → Reinvestor
ASIANPAINT,Asian Paints,2017,Reinvestor,2018,Shareholder Returns,Reinvestor → Shareholder Returns
ASIANPAINT,Asian Paints,2021,Shareholder Returns,2022,Reinvestor,Shareholder Returns → Reinvestor
ASIANPAINT,Asian Paints,2023,Reinvestor,2024,Shareholder Returns,Reinvestor → Shareholder Returns
ATGL,Adani Total Gas Ltd,2018,Mixed,2019,Liquidating Assets,Mixed → Liquidating Assets
ATGL,Adani Total Gas Ltd,2019,Liquidating Assets,2020,Shareholder Returns,Liquidating Assets → Shareholder Returns
ATGL,Adani Total Gas Ltd,2020,Shareholder Returns,2021,Mixed,Shareholder Returns → Mixed
ATGL,Adani Total Gas Ltd,2023,Mixed,2024,Shareholder Returns,Mixed → Shareholder Returns
AXISBANK,Axis Bank Ltd,2014,Mixed,2015,Growth Funded by Debt,Mixed → Growth Funded by Debt
AXISBANK,Axis Bank Ltd,2015,Growth Funded by Debt,2016,Distress Signal,Growth Funded by Debt → Distress Signal
AXISBANK,Axis Bank Ltd,2016,Distress Signal,2017,Shareholder Returns,Distress Signal → Shareholder Returns
AXISBANK,Axis Bank Ltd,2017,Shareholder Returns,2018,Growth Funded by Debt,Shareholder Returns → Growth Funded by Debt
AXISBANK,Axis Bank Ltd,2018,Growth Funded by Debt,2019,Mixed,Growth Funded by Debt → Mixed
AXISBANK,Axis Bank Ltd,2023,Mixed,2024,Growth Funded by Debt,Mixed → Growth Funded by Debt
BAJAJ-AUTO,Bajaj Auto Ltd,2013,Reinvestor,2014,Shareholder Returns,Reinvestor → Shareholder Returns
BAJAJ-AUTO,Bajaj Auto Ltd,2014,Shareholder Returns,2015,Reinvestor,Shareholder Returns → Reinvestor
BAJAJ-AUTO,Bajaj Auto Ltd,2017,Reinvestor,2018,Shareholder Returns,Reinvestor → Shareholder Returns
BAJAJ-AUTO,Bajaj Auto Ltd,2018,Shareholder Returns,2019,Reinvestor,Shareholder Returns → Reinvestor
BAJAJ-AUTO,Bajaj Auto Ltd,2019,Reinvestor,2020,Liquidating Assets,Reinvestor → Liquidating Assets
BAJAJ-AUTO,Bajaj Auto Ltd,2020,Liquidating Assets,2021,Reinvestor,Liquidating Assets → Reinvestor
BAJAJ-AUTO,Bajaj Auto Ltd,2021,Reinvestor,2022,Liquidating Assets,Reinvestor → Liquidating Assets
BAJAJ-AUTO,Bajaj Auto Ltd,2023,Liquidating Assets,2024,Reinvestor,Liquidating Assets → Reinvestor
BAJAJFINSV,Bajaj Finserv Ltd,2015,Distress Signal,2016,Growth Funded by Debt,Distress Signal → Growth Funded by Debt
BAJAJFINSV,Bajaj Finserv Ltd,2016,Growth Funded by Debt,2017,Distress Signal,Growth Funded by Debt → Distress Signal
BAJAJFINSV,Bajaj Finserv Ltd,2017,Distress Signal,2018,Growth Funded by Debt,Distress Signal → Growth Funded by Debt
BAJAJFINSV,Bajaj Finserv Ltd,2020,Growth Funded by Debt,2021,Mixed,Growth Funded by Debt → Mixed
BAJAJFINSV,Bajaj Finserv Ltd,2021,Mixed,2022,Distress Signal,Mixed → Distress Signal
BAJAJFINSV,Bajaj Finserv Ltd,2022,Distress Signal,2023,Growth Funded by Debt,Distress Signal → Growth Funded by Debt
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2015,Reinvestor,2016,Liquidating Assets,Reinvestor → Liquidating Assets
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2016,Liquidating Assets,2017,Pre-Revenue,Liquidating Assets → Pre-Revenue
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,2017,Pre-Revenue,2018,Reinvestor,Pre-Revenue → Reinvestor
BAJFINANCE,Bajaj Finance Ltd,2017,Growth Funded by Debt,2018,Distress Signal,Growth Funded by Debt → Distress Signal
BAJFINANCE,Bajaj Finance Ltd,2018,Distress Signal,2019,Growth Funded by Debt,Distress Signal → Growth Funded by Debt
