KPI Name,P10,P25,P50 (Median),P75,P90,Mean,Standard Deviation
ROE (%),8.5183,12.4759,15.6388,23.6872,45.4805,113.8801,608.3364
ROCE (%),6.981,10.535,16.84,25.8225,39.01,22.0231,22.4553
OPM (%),10.0903,13.8665,24.8815,39.3545,83.7049,33.4772,26.6073
NPM (%),4.693,7.5421,13.2876,19.9224,28.9531,19.348,43.3847
Debt / Equity,0.016,0.0696,0.5275,3.1205,6.5154,2.0872,3.1684
Rev CAGR 5Y (%),6.3863,8.7069,12.8111,17.6375,20.9923,13.3142,7.1992
PAT CAGR 5Y (%),3.5677,10.0709,17.3043,24.5964,39.8583,20.778,20.531
FCF CAGR 5Y (%),-9.55,-7.36,10.03,18.94,32.355,10.8423,29.6289
Asset Turnover,0.0731,0.2153,0.5805,1.1142,1.623,3.2186,15.1377
Interest Coverage,1.6831,3.2428,10.1044,52.364,176.204,115.3579,464.6043
